City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,whithorn,18.2604,-78.0378,84.99,74,20,17.27,JM,1610570538
133,bako,5.7833,36.5667,68.7,51,13,1.59,ET,1610570538
134,leh,34.1667,77.5833,4.91,26,0,0.96,IN,1610570539
135,tshane,-24.0196,21.8684,83.3,37,88,7.02,BW,1610570539
136,arti,56.4234,58.5328,-12.41,87,0,2.73,RU,1610570539
137,kruisfontein,-34.0033,24.7314,71.01,89,98,7.0,ZA,1610570397
138,leningradskiy,69.3833,178.4167,-13.09,88,100,8.41,RU,1610570416
139,merauke,-8.4667,140.3333,81.21,80,100,3.27,ID,1610570540
140,luderitz,-26.6481,15.1594,67.28,81,27,5.39,NA,1610570333
141,mingshui,36.7167,117.5,39.0,51,0,9.98,CN,1610570540
142,gizo,-8.103,156.8419,83.41,73,67,11.65,SB,1610570540
143,afua,-0.1567,-50.3867,80.04,83,89,7.58,BR,1610570541
144,ancud,-41.8697,-73.8203,66.2,55,0,9.22,CL,1610570541
145,jamestown,42.097,-79.2353,36.0,86,1,10.85,US,1610570446
146,jalpan,21.2333,-99.4833,69.37,41,25,5.59,MX,1610570541
147,acapulco,16.8634,-99.8901,86.0,62,90,6.91,MX,1610570542
148,saint-augustin,51.226,-58.6502,20.5,91,38,3.71,CA,1610570542
149,te anau,-45.4167,167.7167,65.34,68,19,3.69,NZ,1610570326
150,bandarbeyla,9.4942,50.8122,73.02,78,27,24.76,SO,1610570542
151,dongying,37.4564,118.4856,30.67,89,0,9.98,CN,1610570543
152,melo,-32.3667,-54.1833,71.69,56,0,16.87,UY,1610570543
153,kawalu,-7.3817,108.2082,72.48,89,100,2.8,ID,1610570543
154,basco,20.4487,121.9702,70.29,78,78,22.12,PH,1610570543
155,cabo san lucas,22.8909,-109.9124,77.0,40,75,8.05,MX,1610570543
156,vaini,-21.2,-175.2,82.4,83,40,10.36,TO,1610570383
157,estelle,29.8458,-90.1067,57.0,47,20,6.91,US,1610570544
158,sur,22.5667,59.5289,64.78,57,0,2.15,OM,1610570485
159,drayton valley,53.2168,-114.9854,28.0,86,100,21.99,CA,1610570435
160,pevek,69.7008,170.3133,-19.57,89,99,4.99,RU,1610570394
161,roanoke rapids,36.4615,-77.6542,55.99,43,1,8.05,US,1610570482
162,gabu,12.2833,-14.2167,81.32,16,0,4.74,GW,1610570545
163,cockburn town,21.4612,-71.1419,80.6,65,40,10.36,TC,1610570500
164,saldanha,-33.0117,17.9442,78.8,53,0,5.75,ZA,1610570337
165,adiake,5.2863,-3.304,78.8,89,20,3.44,CI,1610570546
166,xining,36.6167,101.7667,14.18,58,0,3.2,CN,1610570546
167,itarema,-2.9248,-39.9167,80.37,76,80,13.4,BR,1610570546
168,tres arroyos,-38.3739,-60.2798,78.06,36,0,10.31,AR,1610570547
169,ribeira grande,38.5167,-28.7,60.8,88,40,11.5,PT,1610570324
170,belmonte,-15.8631,-38.8828,80.6,65,40,12.66,BR,1610570547
171,abha,18.2164,42.5053,51.8,71,0,1.3,SA,1610570547
172,rexburg,43.826,-111.7897,39.2,70,90,21.85,US,1610570486
173,bambous virieux,-20.3428,57.7575,78.01,94,75,2.3,MU,1610570547
174,qaqortoq,60.7167,-46.0333,30.2,80,90,2.3,GL,1610570548
175,tuatapere,-46.1333,167.6833,59.0,94,2,10.0,NZ,1610570548
176,hermanus,-34.4187,19.2345,71.01,81,30,11.01,ZA,1610570548
177,riyadh,24.6877,46.7219,50.0,29,0,1.61,SA,1610570548
178,touros,-5.1989,-35.4608,82.4,69,20,16.11,BR,1610570549
179,tilichiki,60.4667,166.1,-25.19,83,9,8.05,RU,1610570549
180,puyo,-1.4667,-77.9833,77.0,73,40,4.61,EC,1610570549
181,honiara,-9.4333,159.95,81.21,80,49,5.5,SB,1610570549
182,fort frances,48.5999,-93.4003,34.0,74,1,3.44,CA,1610570550
183,victoria,22.2855,114.1577,54.0,40,0,3.44,HK,1610570368
184,arkhara,49.4212,130.0842,-13.07,89,98,8.21,RU,1610570550
185,georgetown,5.4112,100.3354,77.0,83,20,6.93,MY,1610570332
186,bongor,10.2806,15.3722,73.4,19,0,6.82,TD,1610570550
187,teahupoo,-17.8333,-149.2667,84.2,70,40,3.44,PF,1610570551
188,kampong thum,12.7111,104.8887,62.15,75,37,4.63,KH,1610570551
189,viedma,-40.8135,-62.9967,82.99,38,58,1.01,AR,1610570551
190,sambir,49.5183,23.1975,28.99,83,100,9.35,UA,1610570551
191,jijiga,9.35,42.8,57.7,46,11,7.99,ET,1610570552
192,svetlogorsk,52.6333,29.7333,21.31,97,100,6.76,BY,1610570552
193,khani,41.9563,42.9566,57.2,72,90,4.61,GE,1610570552
194,guatire,10.4762,-66.5427,86.0,74,20,5.75,VE,1610570553
195,portland,45.5234,-122.6762,54.0,54,40,6.91,US,1610570337
196,valparaiso,-33.0393,-71.6273,75.2,33,0,9.22,CL,1610570553
197,meulaboh,4.1363,96.1285,76.59,74,100,5.59,ID,1610570553
198,martapura,-3.4167,114.85,75.2,100,90,4.61,ID,1610570553
199,yima,34.7381,111.8839,39.99,99,23,1.74,CN,1610570554
200,maniitsoq,65.4167,-52.9,22.35,97,100,5.86,GL,1610570555
201,kiunga,-6.1219,141.2906,71.87,98,100,2.84,PG,1610570555
202,provideniya,64.3833,-173.3,5.0,78,90,8.95,RU,1610570330
203,chicama,-7.8447,-79.1469,78.17,61,72,11.54,PE,1610570556
204,acarau,-2.8856,-40.12,80.35,78,100,14.76,BR,1610570499
205,saskylakh,71.9167,114.0833,-43.65,77,93,11.23,RU,1610570324
206,grindavik,63.8424,-22.4338,39.2,93,0,13.8,IS,1610570474
207,sitka,57.0531,-135.33,35.6,93,90,6.91,US,1610570556
208,coahuayana,18.7333,-103.6833,80.6,44,75,5.75,MX,1610570557
209,botshabelo,-29.2702,26.7052,64.4,94,88,6.91,ZA,1610570557
210,saint george,37.1041,-113.5841,42.8,26,1,1.25,US,1610570342
211,mount gambier,-37.8333,140.7667,48.2,93,1,1.14,AU,1610570558
212,perleberg,53.0667,11.8667,34.0,86,47,4.0,DE,1610570558
213,dingle,10.9995,122.6711,75.63,86,93,10.22,PH,1610570501
214,guaira,-20.3183,-48.3106,80.96,78,98,3.33,BR,1610570558
215,arraial do cabo,-22.9661,-42.0278,82.4,69,0,18.41,BR,1610570559
216,hisor,38.525,68.5512,35.6,55,0,4.47,TJ,1610570559
217,port elizabeth,-33.918,25.5701,69.8,94,90,9.22,ZA,1610570559
218,nikolskoye,59.7035,30.7861,6.8,78,75,15.66,RU,1610570560
219,udachnyy,66.4167,112.4,-26.72,82,100,13.27,RU,1610570560
220,puerto narino,-3.7703,-70.3831,78.8,89,75,3.44,CO,1610570560
221,iqaluit,63.7506,-68.5145,-9.0,70,20,11.5,CA,1610570343
222,tateyama,34.9833,139.8667,41.0,56,20,6.91,JP,1610570561
223,lianzhou,24.7811,112.3825,47.16,48,44,0.18,CN,1610570561
224,kloulklubed,7.0419,134.2556,78.8,89,75,4.61,PW,1610570561
225,longyearbyen,78.2186,15.6401,15.8,79,75,8.05,SJ,1610570561
226,clyde river,70.4692,-68.5914,-11.2,77,20,6.91,CA,1610570561
227,mount isa,-20.7333,139.5,82.4,47,42,4.61,AU,1610570338
228,beloha,-25.1667,45.05,75.69,91,33,7.81,MG,1610570562
229,ha tinh,18.3333,105.9,53.4,77,0,3.13,VN,1610570562
230,chuy,-33.6971,-53.4616,69.22,49,0,11.21,UY,1610570563
231,yurginskoye,56.8189,67.3921,-20.67,86,0,5.23,RU,1610570563
232,namibe,-15.1961,12.1522,72.39,73,76,5.57,AO,1610570437
233,mizdah,31.4451,12.9801,46.11,60,0,7.61,LY,1610570563
234,semporna,4.4818,118.6112,77.0,94,20,7.61,MY,1610570564
235,kudat,6.8837,116.8477,75.2,100,40,2.3,MY,1610570564
236,easton,40.6884,-75.2207,39.99,65,90,12.66,US,1610570564
237,noormarkku,61.5927,21.8685,12.2,79,90,9.22,FI,1610570564
238,wattegama,6.7989,81.4808,72.43,94,100,3.04,LK,1610570565
239,severo-kurilsk,50.6789,156.125,17.73,85,20,10.78,RU,1610570565
240,houma,29.5958,-90.7195,60.01,41,1,4.61,US,1610570413
241,pangoa,-12.1167,-73.0,79.09,87,54,1.19,PE,1610570565
242,concordia,-31.393,-58.0209,84.99,37,0,13.8,AR,1610570292
243,zaria,11.1113,7.7227,70.27,20,0,9.84,NG,1610570566
244,matagami,49.7502,-77.6328,30.2,93,90,2.3,CA,1610570566
245,tessalit,20.1986,1.0114,67.17,23,0,12.33,ML,1610570566
246,cache creek,50.8101,-121.3246,30.99,93,90,10.36,CA,1610570566
247,ossora,59.2353,163.0719,-8.81,87,99,4.27,RU,1610570566
248,brazzaville,-4.2658,15.2832,80.6,74,20,4.61,CG,1610570567
249,asau,46.4333,26.4,30.2,100,81,6.91,RO,1610570567
250,yakeshi,49.2833,120.7333,-24.68,86,96,3.78,CN,1610570567
251,portobelo,9.55,-79.65,86.0,99,100,14.34,PA,1610570568
252,mahebourg,-20.4081,57.7,77.0,94,75,2.3,MU,1610570568
253,senno,59.5336,33.9167,-2.0,79,98,4.0,RU,1610570568
254,mawlaik,23.6333,94.4167,60.15,63,33,2.08,MM,1610570568
255,port blair,11.6667,92.75,76.95,76,0,10.4,IN,1610570345
256,gbarnga,6.9956,-9.4722,72.99,91,95,3.27,LR,1610570569
257,baoro,5.6667,15.9667,71.58,23,55,5.37,CF,1610570569
258,bathsheba,13.2167,-59.5167,82.4,65,40,17.27,BB,1610570569
259,pacific grove,36.6177,-121.9166,60.8,55,1,5.75,US,1610570569
260,mocuba,-16.8392,36.9856,75.88,95,100,2.48,MZ,1610570570
261,waingapu,-9.6567,120.2641,79.93,78,100,4.07,ID,1610570570
262,saryagash,41.4511,69.1701,33.8,93,4,4.61,KZ,1610570570
263,muros,42.7762,-9.0603,46.99,88,4,2.59,ES,1610570570
264,ashqelon,31.6693,34.5715,66.0,100,38,11.65,IL,1610570342
265,natal,-5.795,-35.2094,82.4,69,40,12.66,BR,1610570337
266,alvaraes,-3.2208,-64.8042,78.8,83,75,13.8,BR,1610570571
267,mapiripan,2.8892,-72.1256,86.11,58,87,7.58,CO,1610570571
268,nouadhibou,20.931,-17.0347,64.4,59,51,17.27,MR,1610570571
269,gazli,40.1333,63.45,32.61,90,0,16.62,UZ,1610570572
270,namatanai,-3.6667,152.4333,81.27,76,94,9.64,PG,1610570572
271,ostrovnoy,68.0531,39.5131,3.83,93,75,22.3,RU,1610570572
272,pavlodar,52.3,76.95,-5.8,77,0,8.95,KZ,1610570471
273,den helder,52.9599,4.7593,41.0,70,90,9.22,NL,1610570573
274,la ronge,55.1001,-105.2842,23.0,80,100,4.61,CA,1610570573
275,tupelo,34.2576,-88.7034,51.8,43,1,10.36,US,1610570573
276,mumbwa,-14.9783,27.0619,65.82,97,99,3.69,ZM,1610570573
277,ambulu,-8.345,113.6058,76.75,88,95,2.01,ID,1610570573
278,san patricio,28.017,-97.5169,60.01,62,75,4.61,US,1610570574
279,odweyne,9.4092,45.064,65.64,30,0,13.4,SO,1610570574
280,roald,62.5833,6.1333,26.6,68,0,3.44,NO,1610570355
281,wakema,16.6,95.1833,70.9,75,33,3.8,MM,1610570574
282,maraba,-5.3686,-49.1178,89.6,62,40,2.3,BR,1610570575
283,moerai,-22.4333,-151.3333,79.57,78,19,14.54,PF,1610570576
284,hualmay,-11.0964,-77.6139,73.26,76,94,11.14,PE,1610570576
285,saint-pierre,-21.3393,55.4781,80.6,83,75,2.3,RE,1610570326
286,bonavista,48.6499,-53.1147,28.4,80,46,1.14,CA,1610570576
287,biak,-0.9131,122.8766,77.7,79,100,2.42,ID,1610570440
288,nuevo progreso,23.1667,-97.95,68.0,59,81,4.0,MX,1610570457
289,okhotsk,59.3833,143.3,-15.14,80,0,10.16,RU,1610570577
290,hamilton,39.1834,-84.5333,46.99,49,75,13.8,US,1610570577
291,chapleau,47.8405,-83.4034,30.2,93,90,3.44,CA,1610570577
292,harper,4.375,-7.7169,78.84,81,51,5.84,LR,1610570577
293,vega de alatorre,20.0333,-96.6333,64.89,62,86,13.4,MX,1610570578
294,grand gaube,-20.0064,57.6608,78.01,82,14,4.0,MU,1610570578
295,vigrestad,58.5667,5.7,30.0,74,0,3.44,NO,1610570578
296,andapa,-14.65,49.65,71.74,91,44,2.04,MG,1610570578
297,mehamn,71.0357,27.8492,23.0,74,40,14.97,NO,1610570579
298,norman wells,65.282,-126.8329,5.0,85,90,18.41,CA,1610570382
299,bengkulu,-3.8004,102.2655,74.89,85,100,5.55,ID,1610570523
